3D Contour Integration Errors
Generated on: 2025-03-21 23:11:22
        Beta       N_poles         Error
8.000000e+00  9.000000e+00  1.446943e-03
8.000000e+00  1.000000e+01  7.011622e-04
8.000000e+00  1.100000e+01  2.990241e-04
8.000000e+00  1.200000e+01  1.097389e-04
8.000000e+00  1.300000e+01  5.783529e-05
8.000000e+00  1.400000e+01  1.738272e-05
8.000000e+00  1.500000e+01  8.975037e-06
8.000000e+00  1.600000e+01  3.835887e-06
8.000000e+00  1.700000e+01  1.329566e-06
8.000000e+00  1.800000e+01  6.223162e-07
8.000000e+00  1.900000e+01  2.914668e-07
8.000000e+00  2.000000e+01  1.050967e-07
8.000000e+00  2.100000e+01  3.919061e-08
8.000000e+00  2.200000e+01  2.196152e-08
8.000000e+00  2.300000e+01  8.750960e-09
8.000000e+00  2.400000e+01  4.895638e-09
8.000000e+00  2.500000e+01  4.085200e-09
8.000000e+00  2.600000e+01  3.909297e-09
8.000000e+00  2.700000e+01  3.858969e-09
8.000000e+00  2.800000e+01  3.845812e-09
8.000000e+00  2.900000e+01  3.858676e-09
8.000000e+00  3.000000e+01  3.839731e-09
8.000000e+00  3.100000e+01  3.843568e-09
8.000000e+00  3.200000e+01  3.982004e-09
8.000000e+00  3.300000e+01  3.858461e-09
8.000000e+00  3.400000e+01  3.841126e-09
8.000000e+00  3.500000e+01  3.842987e-09
8.000000e+00  3.600000e+01  3.888724e-09
8.000000e+00  3.700000e+01  3.845514e-09
8.000000e+00  3.800000e+01  3.844066e-09
8.000000e+00  3.900000e+01  3.843537e-09
8.000000e+00  4.000000e+01  3.845044e-09
8.000000e+00  4.100000e+01  3.843078e-09
8.000000e+00  4.200000e+01  3.845418e-09
8.000000e+00  4.300000e+01  3.843409e-09
8.000000e+00  4.400000e+01  3.842841e-09
8.000000e+00  4.500000e+01  3.840323e-09
8.000000e+00  4.600000e+01  3.840796e-09
8.000000e+00  4.700000e+01  3.912456e-09
8.000000e+00  4.800000e+01  3.840328e-09
8.000000e+00  4.900000e+01  3.838948e-09
8.000000e+00  5.000000e+01  3.840929e-09
8.000000e+00  5.100000e+01  3.867454e-09
8.000000e+00  5.200000e+01  3.843594e-09
8.000000e+00  5.300000e+01  3.838951e-09
8.000000e+00  5.400000e+01  3.842645e-09
8.000000e+00  5.500000e+01  3.877706e-09
8.000000e+00  5.600000e+01  3.840254e-09
8.000000e+00  5.700000e+01  3.839104e-09
8.000000e+00  5.800000e+01  3.842033e-09
8.000000e+00  5.900000e+01  3.841571e-09
8.000000e+00  6.000000e+01  3.842220e-09
1.600000e+01  1.000000e+00  1.314293e+00
1.600000e+01  2.000000e+00  7.792512e-01
1.600000e+01  3.000000e+00  3.675474e-01
1.600000e+01  4.000000e+00  1.909969e-01
1.600000e+01  5.000000e+00  8.800121e-02
1.600000e+01  6.000000e+00  3.806614e-02
1.600000e+01  7.000000e+00  1.936643e-02
1.600000e+01  8.000000e+00  7.638411e-03
1.600000e+01  9.000000e+00  4.346387e-03
1.600000e+01  1.000000e+01  1.658454e-03
1.600000e+01  1.100000e+01  8.233204e-04
1.600000e+01  1.200000e+01  3.579838e-04
1.600000e+01  1.300000e+01  1.735331e-04
1.600000e+01  1.400000e+01  7.490720e-05
1.600000e+01  1.500000e+01  3.744070e-05
1.600000e+01  1.600000e+01  1.673499e-05
1.600000e+01  1.700000e+01  7.376872e-06
1.600000e+01  1.800000e+01  3.866927e-06
1.600000e+01  1.900000e+01  1.453439e-06
1.600000e+01  2.000000e+01  7.819611e-07
1.600000e+01  2.100000e+01  3.522633e-07
1.600000e+01  2.200000e+01  1.454116e-07
1.600000e+01  2.300000e+01  7.843132e-08
1.600000e+01  2.400000e+01  3.274539e-08
1.600000e+01  2.500000e+01  1.417018e-08
1.600000e+01  2.600000e+01  8.191017e-09
1.600000e+01  2.700000e+01  4.600158e-09
1.600000e+01  2.800000e+01  3.869073e-09
1.600000e+01  2.900000e+01  3.790843e-09
1.600000e+01  3.000000e+01  3.767122e-09
1.600000e+01  3.100000e+01  3.859636e-09
1.600000e+01  3.200000e+01  3.767927e-09
1.600000e+01  3.300000e+01  3.772183e-09
1.600000e+01  3.400000e+01  3.839598e-09
1.600000e+01  3.500000e+01  3.773008e-09
1.600000e+01  3.600000e+01  3.769707e-09
1.600000e+01  3.700000e+01  4.000585e-09
1.600000e+01  3.800000e+01  3.772263e-09
1.600000e+01  3.900000e+01  3.781645e-09
1.600000e+01  4.000000e+01  3.962558e-09
1.600000e+01  4.100000e+01  3.771389e-09
1.600000e+01  4.200000e+01  3.754604e-09
1.600000e+01  4.300000e+01  3.947413e-09
1.600000e+01  4.400000e+01  3.771820e-09
1.600000e+01  4.500000e+01  3.771283e-09
1.600000e+01  4.600000e+01  3.824794e-09
1.600000e+01  4.700000e+01  3.773946e-09
1.600000e+01  4.800000e+01  3.751333e-09
1.600000e+01  4.900000e+01  3.819252e-09
1.600000e+01  5.000000e+01  3.772981e-09
1.600000e+01  5.100000e+01  3.784966e-09
1.600000e+01  5.200000e+01  3.807779e-09
